File Name,Reference,Verse
0-1770809.jpg,,"Don't worry about the future.
"
1-1770809.jpg,,"This is the day that the LORD has made.
"
2-2662116.jpg,,"Believe your prayers will be answered.
"
3-147411.jpg,,"Every day is a gift from God.
"
4-3560044.jpg,,"Where the Spirit of the Lord is, there is freedom.
"
5-614484.jpg,,"When you stress it, pray about it.
"
6-1752372.jpg,,"Thank you God for another day.
"
7-2591408.jpg,,"At the right time, I, the Lord, will make it happen.
"
8-1819631.jpg,,"God says you are more than a conqueror.
"
9-1643113.jpg,,"Go to God first.
"
10-2440021.jpg,,"I can do all things through Him who strengthens me.
"
11-675764.jpg,,"God's word never fails.
"
12-2707645.jpg,,"God is greater than your fears.
"
13-2387873.jpg,,"God is greater than the highs and lows.
"
14-1819631.jpg,,"He is risen.
"
15-2310641.jpg,,"God's ways > my ways
"
16-345522.jpg,,"No prayer is too small for God.
"
17-1761279.jpg,,"I am not lucky, I am blessed.
"
18-1179229.jpg,,"I will refresh the weary and satisfy the faint.
"
19-3227984.jpg,,"Jesus loves you on your bad days too.
"
20-808465.jpg,,"With God all things are possible.
"
21-2402995.jpg,,"Put your trust in the one who holds it all.
"
22-1496373.jpg,,"Keep God first.
"
23-884547.jpg,,"God, thank you.
"
24-3584430.jpg,,"God is always on time.
"
25-1287145.jpg,,"God heard you. Be patient.
"
26-2707645.jpg,,"Thank God before it happens.
"
27-2662116.jpg,,"God will never let you down.
"
28-884547.jpg,,"Jesus heals.
"
29-3225517.jpg,,"God is patient with you.
"
30-1834407.jpg,,"I will strengthen you and help you.
"
31-2402995.jpg,,"God makes no mistakes.
"
32-614484.jpg,,"Love never fails.
"
33-614484.jpg,,"I have hidden your word in my heart.
"
34-2683365.jpg,,"Always be joyful. Never stop praying.
"
35-1144687.jpg,,"Don't worry about the future.
"
36-3756718.jpg,,"Less on me, more of him.
"
37-3225517.jpg,,"Focus on God.
"
38-2627945.jpg,,"God has a plan.
"
39-849403.jpg,,"God is with you.
"
40-1144687.jpg,,"Jesus changes everything.
"
41-2387873.jpg,,"My future is in God's hands.
"
42-1647972.jpg,,"God is for you.
"
43-147411.jpg,,"Lord, guide me in every situation.
"
44-3584430.jpg,,"God is fighting for you.
"
45-1450082.jpg,,"Don't forget to pray today.
"
46-3560044.jpg,,"Pray in the good times too.
"
47-1287145.jpg,,"Every word of God proves true.
"
48-1785493.jpg,,"God so loved.
"
49-2707645.jpg,,"Be anxious for nothing.
"
50-1459534.jpg,,"One prayer can do a lot.
"
51-1643113.jpg,,"Lord, guide me.
"
52-1517162.jpg,,"Abide in Him.
"
53-1179229.jpg,,"God's plan is worthy waiting for.
"
54-2591408.jpg,,"Choose worship over worry.
"
55-1459534.jpg,,"God is always with you.
"
56-1647972.jpg,,"God's plan, not mine.
"
57-3560044.jpg,,"Prayer is a relationship with God.
"
58-2724664.jpg,,"When you wake up, pray.
"
59-963713.jpg,,"Give it to God.
"
60-1078983.jpg,,"Jesus is the permanent fix to our problems.
"
61-1496373.jpg,,"God is able.
"
62-1785493.jpg,,"You have to let God handle it.
"
63-1647972.jpg,,"God listens when you pray.
"
64-1834399.jpg,,"Never get tired of doing good.
"
65-2437295.jpg,,"When everything else fails. God doesn't.
"
66-2387873.jpg,,"Set you minds on things above.
"
67-808465.jpg,,"God keeps his promises.
"
68-3227984.jpg,,"You are never too lost to be found.
"
69-1761279.jpg,,"In His presence there is fullness of joy.
"
70-1287145.jpg,,"Let my life be an example.
"
71-675764.jpg,,"Love casts out fear.
"
72-147411.jpg,,"The LORD confides in those who fear him.
"
73-1078983.jpg,,"Quit overthinking and just pray.
"
74-1834407.jpg,,"Give God your weakness and He will give you His strength.
"
75-2724664.jpg,,"In him you have peace.
"
76-1834407.jpg,,"Trust God when he tells you to wait.
"
77-4064432.jpg,,"God knows everything and still he listens.
"
