File Name,Reference,Verse
0-1752372.jpg,,"Don't worry about the future.
"
1-675764.jpg,,"This is the day that the LORD has made.
"
2-3225517.jpg,,"Believe your prayers will be answered.
"
3-3560044.jpg,,"Every day is a gift from God.
"
4-614484.jpg,,"Where the Spirit of the Lord is, there is freedom.
"
5-345522.jpg,,"When you stress it, pray about it.
"
6-345522.jpg,,"Thank you God for another day.
"
7-1819631.jpg,,"At the right time, I, the Lord, will make it happen.
"
8-147411.jpg,,"God says you are more than a conqueror.
"
9-345522.jpg,,"Go to God first.
"
10-147411.jpg,,"I can do all things through Him who strengthens me.
"
11-2437295.jpg,,"God's word never fails.
"
12-1179229.jpg,,"God is greater than your fears.
"
13-1496373.jpg,,"God is greater than the highs and lows.
"
14-2310641.jpg,,"He is risen.
"
15-2524874.jpg,,"God's ways > my ways
"
16-2437295.jpg,,"No prayer is too small for God.
"
17-1450082.jpg,,"I am not lucky, I am blessed.
"
18-2683365.jpg,,"I will refresh the weary and satisfy the faint.
"
19-3584430.jpg,,"Jesus loves you on your bad days too.
"
20-3225517.jpg,,"With God all things are possible.
"
21-2591408.jpg,,"Put your trust in the one who holds it all.
"
22-2440021.jpg,,"Keep God first.
"
23-4064432.jpg,,"God, thank you.
"
24-963713.jpg,,"God is always on time.
"
25-3464632.jpg,,"God heard you. Be patient.
"
26-1752372.jpg,,"Thank God before it happens.
"
27-3756718.jpg,,"God will never let you down.
"
28-1517162.jpg,,"Jesus heals.
"
29-2437295.jpg,,"God is patient with you.
"
30-2707645.jpg,,"I will strengthen you and help you.
"
31-2402995.jpg,,"God makes no mistakes.
"
32-1743165.jpg,,"Love never fails.
"
33-1834407.jpg,,"I have hidden your word in my heart.
"
34-2627945.jpg,,"Always be joyful. Never stop praying.
"
35-849403.jpg,,"Don't worry about the future.
"
36-1179229.jpg,,"Less on me, more of him.
"
37-2591408.jpg,,"Focus on God.
"
38-884547.jpg,,"God has a plan.
"
39-2583833.jpg,,"God is with you.
"
40-3756718.jpg,,"Jesus changes everything.
"
41-1647972.jpg,,"My future is in God's hands.
"
42-2707645.jpg,,"God is for you.
"
43-1834399.jpg,,"Lord, guide me in every situation.
"
44-1450082.jpg,,"God is fighting for you.
"
45-2683365.jpg,,"Don't forget to pray today.
"
46-1643113.jpg,,"Pray in the good times too.
"
47-2724664.jpg,,"Every word of God proves true.
"
48-2440021.jpg,,"God so loved.
"
49-1819631.jpg,,"Be anxious for nothing.
"
50-2683365.jpg,,"One prayer can do a lot.
"
51-1179229.jpg,,"Lord, guide me.
"
52-3756718.jpg,,"Abide in Him.
"
53-1770809.jpg,,"God's plan is worthy waiting for.
"
54-3225517.jpg,,"Choose worship over worry.
"
55-3560044.jpg,,"God is always with you.
"
56-1743165.jpg,,"God's plan, not mine.
"
57-1144687.jpg,,"Prayer is a relationship with God.
"
58-1761279.jpg,,"When you wake up, pray.
"
59-808465.jpg,,"Give it to God.
"
60-147411.jpg,,"Jesus is the permanent fix to our problems.
"
61-3584430.jpg,,"God is able.
"
62-2524874.jpg,,"You have to let God handle it.
"
63-675764.jpg,,"God listens when you pray.
"
64-1785493.jpg,,"Never get tired of doing good.
"
65-2724664.jpg,,"When everything else fails. God doesn't.
"
66-1517162.jpg,,"Set you minds on things above.
"
67-3464632.jpg,,"God keeps his promises.
"
68-1144687.jpg,,"You are never too lost to be found.
"
69-2627945.jpg,,"In His presence there is fullness of joy.
"
70-4064432.jpg,,"Let my life be an example.
"
71-849403.jpg,,"Love casts out fear.
"
72-1078983.jpg,,"The LORD confides in those who fear him.
"
73-2310641.jpg,,"Quit overthinking and just pray.
"
74-2440021.jpg,,"Give God your weakness and He will give you His strength.
"
75-1287145.jpg,,"In him you have peace.
"
76-849403.jpg,,"Trust God when he tells you to wait.
"
77-1450082.jpg,,"God knows everything and still he listens.
"
78-1785493.jpg,,"Jesus, I am all in.
"
79-1459534.jpg,,"God has a purpose for your life.
"
80-2310641.jpg,,"He turns my darkness into light.
"
81-2662116.jpg,,"The joy of the Lord is my strength.
"
82-884547.jpg,,"God, I pray that I would draw closer to you.
"
83-1770809.jpg,,"Your comfort broughts joy to my soul.
"
84-1770809.jpg,,"God loves you unconditionally.
"
85-1144687.jpg,,"God hears your prayer. Trust him timing.
"
86-1785493.jpg,,"In you, LORD my God, I put my trust.
"
87-2591408.jpg,,"For no word from God will every fail.
"
88-2524874.jpg,,"Worry doesn't change anything. Prayer does.
"
89-2402995.jpg,,"Faith, Hope, Love.
"
90-1459534.jpg,,"Keep praying as you wait.
"
91-963713.jpg,,"Reminder: God forgave you.
"
92-1834399.jpg,,"God has given you a spirit of power, of love and of a sound mind.
"
93-3227984.jpg,,"God has not given us a spirit of fear.
"
94-2387873.jpg,,"You are my defender, my place of safety in times of troubles.
"
95-2662116.jpg,,"We love because He first loved us.
"
96-3584430.jpg,,"Even when you are frustrated, seek God.
"
97-614484.jpg,,"God is faithful.
"
98-1643113.jpg,,"God is all we need.
"
99-808465.jpg,,"Lord, I can't do this on my own.
"
100-1459534.jpg,,"Walk by faith, not by sight.
"
101-1647972.jpg,,"Being a Christian doesn't change what you deal with. It changes how you deal with it.
"
102-1078983.jpg,,"In my weakness, you give me strength.
"
103-2583833.jpg,,"I will refresh the weary and satisfy the faint.
"
104-2387873.jpg,,"Anxiety comes from the world, peace comes from God.
"
105-1078983.jpg,,"If God's for you, It doesn't matter what's against you.
"
106-1496373.jpg,,"The Way, The Truth, The Life
"
107-3464632.jpg,,"God is most glorified in us when we are most satisfied in Him.
"
108-2662116.jpg,,"True faith means putting every hope in God's fidelity to His Promises.
"
109-3227984.jpg,,"Faith does not eliminate questions. But faith knows where to take them.
"
110-2627945.jpg,,"Some of God's greatest gifts are unanswered prayers.
"
111-884547.jpg,,"What God intended for you goes far beyond anything you can imagine.
"
112-1761279.jpg,,"Life is God's novel. Let him write it.
"
113-1287145.jpg,,"Your word is a lamp to my feet and a light for my path.
"
114-1517162.jpg,,"Let us rejoice and be glad in the Lord.
"
115-4064432.jpg,,"Fear ends where faith begins.
"
116-1761279.jpg,,"God is my first priority.
"
117-1834407.jpg,,"Amazing grace.
"
118-1287145.jpg,,"What would Jesus do?
"
